"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"367","Devonte' Graham","Nor","G","28.1","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.3","111.6"
"368","Jalen Johnson","Atl","F","21.2","63","14.7","15.2","10.2","66","0.652","184","0.571","89","0.292","0.527","0.548","5.3","4","1","0.5","0.4","0.5","9.2","6.3","10.3","7.5","114.7","106"
"369","MarJon Beauchamp","Mil","F","22.4","42","13.7","18.7","15.2","29","0.724","86","0.488","120","0.317","0.481","0.501","5.2","2.2","0.6","0.4","0.1","0.9","7.4","5.8","8","5.5","97.9","104.2"
"370","Ziaire Williams","Mem","F","21.5","36","14.7","17.3","16.9","18","0.778","88","0.602","89","0.247","0.486","0.503","5.2","2.1","0.7","0.4","0.1","1","7.3","5.9","8","5.4","93.2","104.2"
"371","Simone Fontecchio","Uta","F","27.3","40","12.1","19.8","12.7","34","0.794","66","0.439","120","0.325","0.47","0.503","5.1","1.4","0.7","0.3","0.2","0.7","6.4","5.7","7.1","5.7","102.2","113"
"372","Zeke Nnaji","Den","F-C","22.2","44","13.3","14.6","11.6","54","0.667","107","0.692","45","0.289","0.615","0.634","5.1","2.3","0.3","0.3","0.4","0.5","7.4","5.3","7.6","4.6","126.9","104.7"
"373","Austin Rivers","Min","G","30.6","50","20.1","10.5","10","39","0.769","85","0.565","122","0.352","0.543","0.569","5.1","1.6","1.5","0.6","0.1","0.5","6.7","6.6","8.2","4.6","115.1","111.8"
"374","Lindy Waters III","Okc","F","25.6","33","12.1","15.8","6.3","18","0.833","10","0.7","124","0.371","0.567","0.588","5.1","1.7","0.7","0.3","0.2","0.3","6.7","5.8","7.4","6","120.5","109.9"
"375","Blake Wesley","San","G","20","24","16.4","19.1","22.9","26","0.615","95","0.326","36","0.417","0.408","0.432","5.1","2.1","2.1","0.5","0.1","1.6","7.2","7.2","9.3","6.9","83.5","111.5"
"376","Goga Bitadze","Orl","C-F","23.7","6","11.6","16.5","8.3","6","0.5","18","0.667","4","0.25","0.614","0.609","5","4.7","1","0.2","0.7","0.3","9.7","6","10.7","9.9","136.3","105.4"
